     Playlist length
Artist,Albums
Music Videos,294294
Grunge,4122018
Classical 101 - Deep Cuts,6755730
Music,1740218268
Heavy Metal Classic,8206312
90’s Music,398244485
Classical 101 - The Basics,7439811
Classical,21770592
Brazilian Music,9486559
Classical 101 - Next Steps,7575051
On-The-Go 1,197459
TV Shows,1002189914
nibba,342562
     Artists with the most songs
Artist,Albums
U2,44
The Tea Party,24
Chris Cornell,23
Gilberto Gil,23
Miles Davis,23
     Artists per playlist
Artist,Albums
TV Shows,12
Music Videos,1
Classical,73
nibba,1
Classical 101 - Deep Cuts,25
Music,333
Heavy Metal Classic,19
Classical 101 - The Basics,25
Brazilian Music,14
On-The-Go 1,1
Grunge,7
90’s Music,151
Classical 101 - Next Steps,25
